party,date,avg,sd,eff_n,lower,upper,region
Bloc,2021-05-16,0.274821755591825,0.041757287404173546,4.011389408576564,0.24051073600498576,0.30913277517866417,Quebec
Bloc,2021-05-17,0.27976748272227975,0.03804813920984707,4.076136445499765,0.24852849366006038,0.3110064717844991,Quebec
Bloc,2021-05-18,0.2805738133163029,0.03619180774807905,4.396068250763443,0.25197516631711886,0.30917246031548695,Quebec
Bloc,2021-05-19,0.2817349717887424,0.034169268199942024,4.660232345601992,0.25549950098565144,0.3079704425918335,Quebec
Bloc,2021-05-20,0.2886601540429201,0.036004753176169704,4.602801109419719,0.26050754555259065,0.3168127625332495,Quebec
Bloc,2021-05-21,0.2941699659208135,0.03924827947549723,4.561394895469251,0.26322151443148334,0.32511841741014363,Quebec
Bloc,2021-05-22,0.29356456856709645,0.04263210236381525,4.513572206732781,0.2598710622690447,0.3272580748651482,Quebec
Bloc,2021-05-23,0.29342676314341914,0.04571584750880502,4.496994989916521,0.2574447575503609,0.3294087687364774,Quebec
Bloc,2021-05-24,0.29359556772965106,0.048545385003886825,4.48987763515444,0.2556131003941789,0.3315780350651233,Quebec
Bloc,2021-05-25,0.2868371448069816,0.04967332468500617,4.997854368152899,0.25009611400669773,0.32357817560726543,Quebec
Bloc,2021-05-26,0.2810346580194548,0.05055103379936783,5.43170124307226,0.24521231209544064,0.316857003943469,Quebec
Bloc,2021-05-27,0.2803634965455408,0.047718152381962836,5.1874388137463745,0.24578983959499015,0.3149371534960915,Quebec
Bloc,2021-05-28,0.27955584998158567,0.04528889881381092,4.96570146410931,0.24602522308574218,0.31308647687742913,Quebec
Bloc,2021-05-29,0.2786950487076429,0.04311520750602956,4.76964306549535,0.24611451141067214,0.3112755860046136,Quebec
Bloc,2021-05-30,0.27782749774078835,0.04113709706541384,4.590477382449095,0.24611110422529872,0.309543891256278,Quebec
Bloc,2021-05-31,0.2769684750700193,0.03927391336368587,4.430962757533791,0.2460893669616925,0.30784758317834615,Quebec
Bloc,2021-06-01,0.2773749796485669,0.040635339680330354,4.911029212332904,0.2471036015772757,0.3076463577198582,Quebec
Bloc,2021-06-02,0.27765112447332746,0.041654033814987,5.317764440363133,0.2478701860576264,0.3074320628890285,Quebec
Bloc,2021-06-03,0.2849971422653886,0.040677228428078846,4.821959169365499,0.253344580636625,0.3166497038941521,Quebec
Bloc,2021-06-04,0.2916467229590801,0.040042538234207614,4.309639054515602,0.258038914924886,0.3252545309932742,Quebec
Bloc,2021-06-05,0.2913819465356038,0.03829966879748893,3.9406706819534163,0.2579099212257258,0.3248539718454816,Quebec
Bloc,2021-06-06,0.29134954629978116,0.03665140910692789,3.5694016468462246,0.2579845239283815,0.32471456867118087,Quebec
Bloc,2021-06-07,0.29144945245157133,0.03503056423525988,3.189886792628579,0.2581867832953307,0.32471212160781204,Quebec
Bloc,2021-06-08,0.2844988335827914,0.03530148192121761,3.640674570627577,0.25350901846553225,0.3154886487000505,Quebec
Bloc,2021-06-09,0.2782459838540853,0.03515945036053557,4.053917245096995,0.24949057291316695,0.3070013947950037,Quebec
Bloc,2021-06-10,0.2789125534916694,0.03604845568088544,4.282406089198486,0.2502404155945622,0.3075846913887765,Quebec
Bloc,2021-06-11,0.2804533738773195,0.03431216647244238,4.097075109228217,0.252601948588512,0.3083047991661269,Quebec
Bloc,2021-06-12,0.28172292195971227,0.03279966465076344,3.9690504512984233,0.25470246653388456,0.30874337738554003,Quebec
Bloc,2021-06-13,0.2813600653732892,0.03653605001523224,4.130653931758035,0.2520936938653529,0.3106264368812256,Quebec
Bloc,2021-06-14,0.28100313040591046,0.039924121479463136,4.351144997105386,0.24997648215805263,0.31202977865376835,Quebec
Bloc,2021-06-15,0.2806661448510753,0.04309752228815861,4.604701133530086,0.24814350696375187,0.31318878273839884,Quebec
Bloc,2021-06-16,0.2792263235294722,0.04855639916486213,5.266062638475384,0.24466098111349427,0.31379166594545016,Quebec
Bloc,2021-06-17,0.2779305734883078,0.053559160519652746,5.869399303149086,0.24144373337889,0.31441741359772557,Quebec
Bloc,2021-06-18,0.2781773834621918,0.05307612554826128,6.195330973741382,0.24302997624090877,0.3133247906834747,Quebec
Bloc,2021-06-19,0.2836691705000415,0.05127509403798196,5.752479934204627,0.24797768478427895,0.31936065621580384,Quebec
Bloc,2021-06-20,0.2959398487013344,0.05034250584304486,5.504482436507056,0.26005903600769475,0.331820661394974,Quebec
Bloc,2021-06-21,0.307379921503951,0.04991407695070586,5.307781945153906,0.2711809321880587,0.3435789108198432,Quebec
Bloc,2021-06-22,0.3182311225657232,0.0498168612801948,5.145993613208173,0.2816319988752236,0.3548302462562228,Quebec
Bloc,2021-06-23,0.32862812873798064,0.049993212941460155,5.007189556290532,0.29153942812235234,0.3657168293536089,Quebec
Bloc,2021-06-24,0.3333489150487646,0.05184003394547472,5.607581779489467,0.2972540993874589,0.3694437307100703,Quebec
Bloc,2021-06-25,0.3309557553609873,0.053069604004578066,5.995234583538362,0.29525104176338596,0.36666046895858856,Quebec
Bloc,2021-06-26,0.3290953896625478,0.05399541138243095,6.3233404206188535,0.29373826386675506,0.3644525154583406,Quebec
Bloc,2021-06-27,0.32756538317686706,0.05475439789243619,6.611568164040625,0.29250902959338776,0.36262173676034626,Quebec
